"Name_eBird","Names_Birdlife","nb_spc"
"Troglodytes.aedon","Troglodytes.aedon Troglodytes.beani",2
"Trogon.elegans","Trogon.ambiguus Trogon.elegans",2
"Trogon.surrucura","Trogon.aurantius Trogon.surrucura",2
"Tunchiornis.ochraceiceps","Tunchiornis.luteifrons Tunchiornis.ochraceiceps",2
"Turdus.assimilis","Turdus.albicollis Turdus.assimilis",2
"Turdus.chiguanco","Turdus.anthracinus Turdus.chiguanco",2
"Turdus.ignobilis","Turdus.arthuri Turdus.debilis Turdus.ignobilis",3
"Turdus.migratorius","Turdus.confinis Turdus.migratorius",2
"Turdus.plumbeus","Turdus.ardosiaceus Turdus.plumbeus Turdus.rubripes",3
"Vireolanius.leucotis","Vireolanius.leucotis Vireolanius.mikettae",2
"Willisornis.vidua","Willisornis.nigrigula Willisornis.vidua",2
"Xenodacnis.parina","Xenodacnis.parina Xenodacnis.petersi",2
"Xenops.minutus","Xenops.genibarbis Xenops.minutus",2
"Xiphorhynchus.erythropygius","Xiphorhynchus.aequatorialis Xiphorhynchus.erythropygius",2
"Xiphorhynchus.fuscus","Xiphorhynchus.fuscus",1
"Xiphorhynchus.guttatus","Xiphorhynchus.guttatoides Xiphorhynchus.guttatus",2
"Xiphorhynchus.ocellatus","Xiphorhynchus.beauperthuysii Xiphorhynchus.chunchotambo Xiphorhynchus.ocellatus",3
